Date,Open,High,Low,Close,Volume,Sentiment_Score,Sentiment_Label
2022-01-01,46311.74609375,47827.3125,46288.484375,47686.8125,24582667004,21,Extreme Fear
2022-01-02,47680.92578125,47881.40625,46856.9375,47345.21875,27951569547,29,Fear
2022-01-03,47343.54296875,47510.7265625,45835.96484375,46458.1171875,33071628362,29,Fear
2022-01-04,46458.8515625,47406.546875,45752.46484375,45897.57421875,42494677905,23,Extreme Fear
2022-01-05,45899.359375,46929.046875,42798.22265625,43569.00390625,36851084859,24,Extreme Fear
2022-01-06,43565.51171875,43748.71875,42645.5390625,43160.9296875,30208048289,15,Extreme Fear
2022-01-07,43153.5703125,43153.5703125,41077.4453125,41557.90234375,84196607520,18,Extreme Fear
2022-01-08,41561.46484375,42228.94140625,40672.27734375,41733.94140625,28066355845,10,Extreme Fear
2022-01-09,41734.7265625,42663.94921875,41338.16015625,41911.6015625,21294384372,23,Extreme Fear
2022-01-10,41910.23046875,42199.484375,39796.5703125,41821.26171875,32104232331,23,Extreme Fear
2022-01-11,41819.5078125,43001.15625,41407.75390625,42735.85546875,26327648900,21,Extreme Fear
2022-01-12,42742.1796875,44135.3671875,42528.98828125,43949.1015625,33499938689,22,Extreme Fear
2022-01-13,43946.7421875,44278.421875,42447.04296875,42591.5703125,47691135082,21,Extreme Fear
2022-01-14,42598.87109375,43346.6875,41982.6171875,43099.69921875,23577403399,21,Extreme Fear
2022-01-15,43101.8984375,43724.671875,42669.03515625,43177.3984375,18371348298,23,Extreme Fear
2022-01-16,43172.0390625,43436.80859375,42691.0234375,43113.87890625,17902097845,21,Extreme Fear
2022-01-17,43118.12109375,43179.390625,41680.3203125,42250.55078125,21690904261,22,Extreme Fear
2022-01-18,42250.07421875,42534.40234375,41392.21484375,42375.6328125,22417209227,24,Extreme Fear
2022-01-19,42374.0390625,42478.3046875,41242.9140625,41744.328125,23091543258,24,Extreme Fear
2022-01-20,41744.02734375,43413.0234375,40672.82421875,40680.41796875,20382033940,24,Extreme Fear
2022-01-21,40699.60546875,41060.52734375,35791.42578125,36457.31640625,43011992031,19,Extreme Fear
2022-01-22,36471.58984375,36688.8125,34349.25,35030.25,39714385405,13,Extreme Fear
2022-01-23,35047.359375,36433.3125,34784.96875,36276.8046875,26017975951,11,Extreme Fear
2022-01-24,36275.734375,37247.51953125,33184.05859375,36654.328125,41856658597,13,Extreme Fear
2022-01-25,36654.8046875,37444.5703125,35779.4296875,36954.00390625,26428189594,12,Extreme Fear
2022-01-26,36950.515625,38825.41015625,36374.90625,36852.12109375,31324598034,23,Extreme Fear
2022-01-27,36841.87890625,37148.32421875,35629.28125,37138.234375,25041426629,20,Extreme Fear
2022-01-28,37128.4453125,37952.87890625,36211.109375,37784.33203125,22238830523,24,Extreme Fear
2022-01-29,37780.71484375,38576.26171875,37406.47265625,38138.1796875,17194183075,24,Extreme Fear
2022-01-30,38151.91796875,38266.33984375,37437.7109375,37917.6015625,14643548444,29,Fear
2022-01-31,37920.28125,38647.26171875,36733.57421875,38483.125,20734730465,20,Extreme Fear
2022-02-01,38481.765625,39115.1328125,38113.6640625,38743.2734375,20288500328,26,Fear
2022-02-02,38743.71484375,38834.6171875,36832.73046875,36952.984375,19155189416,28,Fear
2022-02-03,36944.8046875,37154.6015625,36375.5390625,37154.6015625,18591534769,20,Extreme Fear
2022-02-04,37149.265625,41527.78515625,37093.62890625,41500.875,29412210792,20,Extreme Fear
2022-02-05,41501.48046875,41847.1640625,41038.09765625,41441.1640625,19652846215,33,Fear
2022-02-06,41441.12109375,42500.78515625,41244.90625,42412.43359375,16142097334,37,Fear
2022-02-07,42406.78125,44401.86328125,41748.15625,43840.28515625,28641855926,45,Fear
2022-02-08,43854.65234375,45293.8671875,42807.8359375,44118.4453125,33079398868,48,Neutral
2022-02-09,44096.703125,44727.80078125,43232.96875,44338.796875,23245887300,54,Neutral
2022-02-10,44347.80078125,45661.171875,43402.80859375,43565.11328125,32142048537,50,Neutral
2022-02-11,43571.12890625,43810.83203125,42114.5390625,42407.9375,26954925781,50,Neutral
2022-02-12,42412.30078125,42992.55078125,41852.57421875,42244.46875,18152390304,44,Fear
2022-02-13,42236.56640625,42693.0546875,41950.94140625,42197.515625,14741589015,44,Fear
2022-02-14,42157.3984375,42775.77734375,41681.95703125,42586.91796875,20827783012,46,Fear
2022-02-15,42586.46484375,44667.21875,42491.03515625,44575.203125,22721659051,46,Fear
2022-02-16,44578.27734375,44578.27734375,43456.69140625,43961.859375,19792547657,51,Neutral
2022-02-17,43937.0703125,44132.97265625,40249.37109375,40538.01171875,26246662813,52,Neutral
2022-02-18,40552.1328125,40929.15234375,39637.6171875,40030.9765625,23310007704,30,Fear
2022-02-19,40026.0234375,40418.87890625,39713.05859375,40122.15625,13736557863,25,Extreme Fear
2022-02-20,40118.1015625,40119.890625,38112.8125,38431.37890625,18340576452,27,Fear
2022-02-21,38423.2109375,39394.4375,36950.4765625,37075.28125,29280402798,25,Extreme Fear
2022-02-22,37068.76953125,38359.85546875,36488.93359375,38286.02734375,25493150450,20,Extreme Fear
2022-02-23,38285.28125,39122.39453125,37201.81640625,37296.5703125,21849073843,25,Extreme Fear
2022-02-24,37278.56640625,38968.83984375,34459.21875,38332.609375,46383802093,23,Extreme Fear
2022-02-25,38333.74609375,39630.32421875,38111.34375,39214.21875,26545599159,27,Fear
2022-02-26,39213.08203125,40005.34765625,38702.53515625,39105.1484375,17467554129,26,Fear
2022-02-27,39098.69921875,39778.94140625,37268.9765625,37709.78515625,23450127612,26,Fear
2022-02-28,37706.0,43760.45703125,37518.21484375,43193.234375,35690014104,20,Extreme Fear
2022-03-01,43194.50390625,44793.6015625,42952.5859375,44354.63671875,32479047645,51,Neutral
2022-03-02,44357.6171875,45077.578125,43432.8515625,43924.1171875,29183112630,52,Neutral
2022-03-03,43925.1953125,44021.578125,41914.75,42451.7890625,24967782593,39,Fear
2022-03-04,42458.140625,42479.61328125,38805.84765625,39137.60546875,28516271427,33,Fear
2022-03-05,39148.44921875,39566.3359375,38777.03515625,39400.5859375,16975917450,22,Extreme Fear
2022-03-06,39404.19921875,39640.17578125,38211.6484375,38419.984375,19745229902,22,Extreme Fear
2022-03-07,38429.3046875,39430.2265625,37260.203125,38062.0390625,28546143503,23,Extreme Fear
2022-03-08,38059.90234375,39304.44140625,37957.38671875,38737.26953125,25776583476,21,Extreme Fear
2022-03-09,38742.81640625,42465.671875,38706.09375,41982.92578125,32284121034,22,Extreme Fear
2022-03-10,41974.0703125,42004.7265625,38832.94140625,39437.4609375,31078064711,28,Fear
2022-03-11,39439.96875,40081.6796875,38347.43359375,38794.97265625,26364890465,22,Extreme Fear
2022-03-12,38794.46484375,39308.59765625,38772.53515625,38904.01171875,14616450657,22,Extreme Fear
2022-03-13,38884.7265625,39209.3515625,37728.14453125,37849.6640625,17300745310,21,Extreme Fear
